dba,boro,cuisine_group,has_critical,has_pest,n_violations,score,grade,pass
KING GARDEN RESTAURANT,Manhattan,Asian,Yes,Yes,1,12,A,Pass
BARRILES,Queens,American,Yes,Yes,2,37,C,Fail
NURSE BETTIE,Manhattan,American,No,Yes,1,4,A,Pass
WOODROW DINER,Staten Island,American,No,Yes,1,12,A,Pass
CUTEST COOKIES,Staten Island,Other,No,No,1,7,A,Pass
SIXTY THREE CLINTON,Manhattan,American,Yes,Yes,1,23,B,Fail
SIMPLY SWEET,Brooklyn,Other,Yes,Yes,2,13,A,Pass
KORI'S EAT,Bronx,Latin,No,Yes,1,12,A,Pass
NEW ZHONG HAN MIAN SHI (STE #30),Queens,Asian,No,No,1,12,A,Pass
DAVE'S HOT CHICKEN,Manhattan,American,No,No,1,12,A,Pass
TAQUERIA SANTA FE,Queens,Latin,Yes,No,2,27,B,Fail
DUNKIN',Queens,Other,Yes,No,1,13,A,Pass
NY BAKERY & DESSERTS,Manhattan,Other,Yes,Yes,1,20,B,Fail
DORADO,Manhattan,Other,No,No,1,13,A,Pass
LINDEN FRIED CHICKEN,Brooklyn,American,No,No,1,13,A,Pass
NITEHAWK CINEMA,Brooklyn,American,Yes,No,1,7,A,Pass
LLAMA SAN,Manhattan,Other,No,No,1,12,A,Pass
THE RABBIT HOLE,Queens,American,Yes,No,1,12,A,Pass
CHINA CITY,Brooklyn,Asian,No,No,1,12,A,Pass
TIN CUP CAFE,Brooklyn,American,Yes,No,1,12,A,Pass
THE NEW DINETTE,Staten Island,American,Yes,Yes,3,28,C,Fail
MALKA,Brooklyn,Other,Yes,Yes,1,12,A,Pass
FRESH&CO,Manhattan,American,No,No,1,12,A,Pass
BELLA'S ITALIAN ICES,Queens,Other,No,No,1,13,A,Pass
NOVO DELI,Queens,American,Yes,Yes,2,53,C,Fail
JAEW HON,Queens,Asian,Yes,No,1,12,A,Pass
THREE DECKER RESTAURANT,Manhattan,American,Yes,No,1,10,A,Pass
QINGDAO,Queens,Asian,Yes,No,1,44,C,Fail
KENNEDY FRIED CHICKEN,Bronx,American,Yes,Yes,2,41,C,Fail
CULINART @ 1250 HUTCH METRO,Bronx,American,Yes,Yes,1,11,A,Pass
DUNKIN,Queens,American,No,No,1,8,A,Pass
EL CLUB VALLE RESTAURANT,Bronx,Latin,Yes,No,1,9,A,Pass
NEW RUAN'S RESTAURANT,Brooklyn,Asian,Yes,No,1,16,B,Fail
CHIPOTLE MEXICAN GRILL #3312,Queens,Latin,No,No,1,4,A,Pass
ELDER GREENE,Brooklyn,American,Yes,No,1,18,B,Fail
B.F. NATIONAL BAKERY,Bronx,Other,Yes,Yes,1,40,C,Fail
PURE BISTRO,Brooklyn,American,Yes,No,2,12,A,Pass
GRIFF'S PLACE,Staten Island,American,No,Yes,1,12,A,Pass
LEBANESE EATERY,Staten Island,European,Yes,Yes,1,12,A,Pass
MEZZALUNA,Manhattan,Italian/Pizza,No,Yes,1,11,A,Pass
MARIO'S PIZZA,Queens,Italian/Pizza,No,No,1,13,A,Pass
LOS 3 CHARROS,Manhattan,Latin,No,No,1,12,A,Pass
SPRING CAFE,Manhattan,Other,Yes,Yes,1,12,A,Pass
MEE SUM CAFE,Manhattan,Other,Yes,Yes,5,51,C,Fail
TACO BELL,Brooklyn,Latin,No,No,1,13,A,Pass
OASIS RAMEN HOUSE,Queens,Asian,Yes,Yes,2,12,A,Pass
BLACK SEED BAGELS,Brooklyn,Other,No,No,2,7,A,Pass
FARM TO BURGER,Manhattan,American,No,No,1,11,A,Pass
YANKEE'S 99 CENTS HOT PIZZA,Bronx,Italian/Pizza,No,No,1,10,A,Pass
STARBUCKS,Staten Island,Other,Yes,Yes,1,13,A,Pass
YAAAS TEA,Queens,Other,No,No,1,13,A,Pass
TAVERN ON THE GREEN,Manhattan,American,Yes,Yes,1,13,A,Pass
ALFIE'S,Manhattan,Other,No,Yes,1,12,A,Pass
CAFE HESTIA,Manhattan,American,No,No,1,13,A,Pass
CUNY GRADUATE CENTER-DINING COMMONS (E0688),Manhattan,American,No,No,1,6,A,Pass
BURGER KING,Brooklyn,American,No,No,1,13,A,Pass
"DUNKIN', BASKIN ROBBINS",Queens,Other,Yes,Yes,1,12,A,Pass
PICK-A-BAGEL,Manhattan,American,Yes,Yes,2,26,B,Fail
FIVE GUYS,Manhattan,American,Yes,Yes,1,10,A,Pass
SHABU TATSU,Manhattan,Asian,No,No,1,7,A,Pass
CROWN FRIED CHICKEN & PIZZA,Brooklyn,American,Yes,Yes,2,24,B,Fail
COSMOS RESTAURANT,Bronx,American,Yes,Yes,3,35,C,Fail
876 CARIBBEAN EATERY,Queens,Latin,Yes,Yes,5,60,C,Fail
BAR BELLY,Manhattan,American,No,Yes,1,26,B,Fail
CHILI'S GRILL & BAR,Staten Island,Other,No,No,1,12,A,Pass
TROOST,Brooklyn,American,Yes,Yes,2,26,B,Fail
PICCOLO SOGNO,Queens,Italian/Pizza,No,No,1,10,A,Pass
FANDI MATA,Brooklyn,European,Yes,Yes,1,10,A,Pass
K & L RESTAURANT AND CATERING SERVICE,Bronx,Latin,No,Yes,1,23,B,Fail
OBAO,Manhattan,Asian,Yes,Yes,1,18,B,Fail
BROADSTONE BAR & KITCHEN,Manhattan,American,Yes,Yes,2,27,B,Fail
INCREDIBOWL,Queens,Asian,Yes,Yes,1,12,A,Pass
PASTICCERIA LA TORRE,Queens,Other,No,No,1,11,A,Pass
MANHATTAN PENTHOUSE,Manhattan,American,Yes,No,1,12,A,Pass
PRIME PIZZA KITCHEN,Staten Island,Italian/Pizza,Yes,No,1,9,A,Pass
DUNKIN',Manhattan,Other,Yes,No,1,9,A,Pass
WENDY'S,Brooklyn,American,No,No,1,5,A,Pass
EL RUMBERO,Queens,American,Yes,No,1,20,B,Fail
OZEN,Manhattan,Asian,No,No,1,9,A,Pass
FU SING,Manhattan,Asian,Yes,Yes,1,22,B,Fail
LE FRENCH DINER,Manhattan,European,Yes,Yes,1,13,A,Pass
ROLL & KATSU KITCHEN,Manhattan,Asian,Yes,Yes,1,10,A,Pass
JOE'S,Queens,Italian/Pizza,No,Yes,1,10,A,Pass
VAN DA,Manhattan,Asian,Yes,Yes,1,11,A,Pass
CHO-KO RESTAURANT,Manhattan,Asian,No,Yes,1,11,A,Pass
GOLDEN HOF/ NY KIMCHI,Manhattan,Asian,Yes,Yes,1,12,A,Pass
THE BROOKLYN STRATEGIST,Brooklyn,American,No,No,1,12,A,Pass
DOUBLE DRINKS/DOUBLE TASTE,Brooklyn,Asian,Yes,Yes,3,29,C,Fail
JD BREAKFAST & COFFEE,Queens,Other,No,No,1,12,A,Pass
DUNKIN,Queens,American,No,No,1,10,A,Pass
NIUDDO,Queens,Asian,No,No,1,11,A,Pass
THE COTTAGE TAVERN,Queens,Other,Yes,Yes,1,24,B,Fail
ZIG ZAG,Brooklyn,American,Yes,No,1,5,A,Pass
KING OF TANDOOR,Brooklyn,South Asian,Yes,Yes,1,12,A,Pass
LA BONANZA BAKERY,Queens,Other,No,Yes,1,11,A,Pass
DIG INN,Manhattan,American,Yes,No,2,24,B,Fail
CHIPOTLE MEXICAN GRILL,Manhattan,American,No,No,1,9,A,Pass
STARBUCKS,Manhattan,Other,No,No,1,6,A,Pass
CAYENA LOUNGE,Bronx,American,Yes,No,1,13,A,Pass
EASTERN NIGHTS,Queens,Other,No,No,1,13,A,Pass
CANAL BAR,Brooklyn,American,Yes,Yes,1,12,A,Pass
HAPPY LAMB,Queens,Asian,Yes,Yes,1,13,A,Pass
THE VIEW,Manhattan,American,No,No,1,13,A,Pass
TAIWAN STATION,Brooklyn,Asian,Yes,Yes,1,12,A,Pass
FU LAI,Brooklyn,Asian,No,No,1,21,B,Fail
POLLO NENE,Queens,Latin,No,No,1,12,A,Pass
POPEYES LOUISIANA KITCHEN,Bronx,American,No,No,1,9,A,Pass
MESA COYOACAN,Brooklyn,Latin,Yes,No,1,25,B,Fail
SPRING CAFE ASPEN,Manhattan,Other,Yes,Yes,1,8,A,Pass
BARNES & NOBLE CAFE,Brooklyn,Other,Yes,No,1,12,A,Pass
EL COMAL RESTAURANT,Queens,American,Yes,Yes,3,38,C,Fail
LIMANI,Manhattan,European,No,No,1,10,A,Pass
PORTA 23,Queens,American,Yes,No,1,12,A,Pass
CROWN FRIED CHICKEN,Brooklyn,American,Yes,Yes,2,25,B,Fail
LE CAFE COFFEE,Manhattan,Other,Yes,No,1,9,A,Pass
PEPPA'S JERK CHICKEN,Manhattan,Other,Yes,No,1,13,A,Pass
PARIS BAGUETTE,Queens,Other,Yes,Yes,1,12,A,Pass
CHIPOTLE MEXICAN GRILL,Manhattan,American,Yes,Yes,1,8,A,Pass
SOCIAL TERRACE,Manhattan,Other,Yes,Yes,1,10,A,Pass
THE BRAZEN HEAD,Brooklyn,American,Yes,Yes,1,8,A,Pass
HOME GARDEN,Bronx,Asian,No,No,1,11,A,Pass
RONG HANG RESTAURANT,Manhattan,Asian,No,No,1,11,A,Pass
REALCARIBBEANPOT RESTAURANT & BAKERY,Brooklyn,Latin,Yes,Yes,3,41,C,Fail
GOLDEN WOK CHINESE RESTAURANT,Manhattan,Asian,No,No,1,24,B,Fail
AUNTIE ANNE'S PRETZEL/CINNABON,Queens,Other,Yes,No,1,10,A,Pass
LORENZOS BAR & GRILL (HILTON GARDEN),Staten Island,American,No,Yes,1,13,A,Pass
COFFEE PROJECT NEW YORK - CHELSEA,Manhattan,Other,No,Yes,2,12,A,Pass
LET'S MEAT,Manhattan,Asian,Yes,No,1,12,A,Pass
SUSHI SEKI,Manhattan,Asian,Yes,Yes,1,13,A,Pass
LA CHACRA,Brooklyn,Other,Yes,Yes,1,13,A,Pass
VILLA CASTILLO RESTAURANT,Brooklyn,American,No,Yes,1,28,C,Fail
SUGABOX,Manhattan,Other,Yes,No,1,12,A,Pass
MADMAN ESPRESSO& BAGELS,Manhattan,American,Yes,No,1,12,A,Pass
750 MYRTLE DINER,Brooklyn,Asian,No,No,1,42,C,Fail
AJO & OREGANO RESTAURANT,Bronx,Latin,Yes,Yes,1,13,A,Pass
MILAN SPORTS BAR,Queens,Other,Yes,Yes,2,33,C,Fail
K POT KOREAN BBQ & HOT POT,Bronx,Asian,No,Yes,1,12,A,Pass
OSTERIA LA BAIA,Manhattan,Italian/Pizza,Yes,Yes,1,26,B,Fail
THE COPPOLA CAFE,Manhattan,Italian/Pizza,Yes,Yes,4,56,C,Fail
SCHNIPPER'S,Manhattan,American,No,No,1,9,A,Pass
THE GREY DOG,Manhattan,American,Yes,Yes,1,8,A,Pass
BIRCH COFFEE,Manhattan,Other,No,No,2,7,A,Pass
EL CABRON TACOS AND MARISCOS,Manhattan,Latin,No,No,1,13,A,Pass
COMMONS CAFE AT DENTISTRY COLLEGE,Manhattan,American,No,No,1,7,A,Pass
MCDONALD'S,Bronx,American,Yes,No,1,8,A,Pass
EL NUEVO BOHIO TROPICAL,Bronx,American,No,No,1,10,A,Pass
LIFEWORKS@NBA NYC,Manhattan,American,No,No,1,12,A,Pass
PICCOLO CAFE,Manhattan,Italian/Pizza,No,No,1,11,A,Pass
BENSONHURST COFFEE,Brooklyn,European,No,No,1,8,A,Pass
GONGCHA,Brooklyn,Other,No,No,1,0,A,Pass
WHITE CASTLE,Queens,American,Yes,No,1,8,A,Pass
CAVIAR KASPIA AT THE MARK,Manhattan,European,Yes,No,1,10,A,Pass
THE WEST,Brooklyn,Other,Yes,Yes,2,22,B,Fail
RED BOWL,Brooklyn,Asian,Yes,No,1,13,A,Pass
WIN HOU,Queens,Asian,Yes,Yes,1,11,A,Pass
PIPS,Brooklyn,Italian/Pizza,Yes,Yes,3,26,B,Fail
THE HIGH NOTE / POPCHEW,Manhattan,American,No,Yes,1,18,B,Fail
BOGATI,Queens,Other,Yes,Yes,3,20,B,Fail
SIP N CHAT COCKTAIL,Brooklyn,Latin,No,No,1,10,A,Pass
LADY CHOW KITCHEN,Manhattan,Asian,No,Yes,1,31,C,Fail
KOTO SUSHI,Brooklyn,Asian,No,No,1,9,A,Pass
LA MADRINA,Bronx,Latin,No,No,1,8,A,Pass
LITE BITES,Brooklyn,American,Yes,No,1,7,A,Pass
BROADWAY AU LAIT,Manhattan,Other,No,No,1,11,A,Pass
TACO BELL,Brooklyn,Other,Yes,No,2,13,A,Pass
BLACK THAI,Queens,Asian,No,No,1,10,A,Pass
S & L HIGH GRADE,Queens,Other,Yes,Yes,3,53,C,Fail
QUALITY MEATS,Manhattan,Other,Yes,No,1,13,A,Pass
AMOR LOCO,Manhattan,Latin,Yes,No,1,12,A,Pass
PIZZA HUT,Bronx,Italian/Pizza,No,Yes,1,13,A,Pass
HONEY MOON COFFEE SHOP,Queens,Other,No,No,1,0,A,Pass
TACO BELL,Queens,Other,No,Yes,1,23,B,Fail
INDAY,Brooklyn,South Asian,Yes,Yes,1,20,B,Fail
LE ZIA CAFE,Queens,American,Yes,Yes,1,27,B,Fail
"THE POOL CLUB, 4TH FLOOR PANTRY, BAR, & EVENTS KITCHEN",Manhattan,American,Yes,No,1,11,A,Pass
JUICY CUBE,Manhattan,Other,No,No,1,8,A,Pass
CUCHIFRITOS,Bronx,Latin,Yes,No,1,11,A,Pass
AU BON PAIN,Queens,American,No,No,1,12,A,Pass
VARIETY COFFEE ROASTERS,Brooklyn,Other,Yes,Yes,1,13,A,Pass
DOMINOS,Staten Island,Italian/Pizza,Yes,Yes,1,13,A,Pass
LA CHOZA DEL GORDO,Queens,American,Yes,Yes,1,13,A,Pass
ESSEX,Manhattan,American,Yes,Yes,2,35,C,Fail
JOONG KOOG JIP,Queens,Asian,Yes,Yes,1,9,A,Pass
PUMPERNICKEL BAGEL,Queens,American,No,No,1,11,A,Pass
JIN SANG GUKBAP,Queens,Asian,Yes,Yes,3,36,C,Fail
BLANK STREET COFFEE,Manhattan,Other,No,Yes,1,8,A,Pass
212 STEAKHOUSE,Manhattan,Other,No,No,1,10,A,Pass
FIRST STOP BAR & GRILL,Queens,American,Yes,Yes,2,10,A,Pass
"DUNKIN',' BASKIN ROBBINS",Bronx,American,No,No,1,8,A,Pass
PRETTY RICKY'S,Manhattan,American,No,No,1,10,A,Pass
LA ESQUINITA LATIN FOOD,Queens,American,Yes,Yes,1,18,B,Fail
QUALITY CHEF,Bronx,Asian,Yes,Yes,1,24,B,Fail
JOE'S HOME OF SOUP DUMPLINGS,Manhattan,Asian,No,No,1,5,C,Fail
FULTON HALL,Brooklyn,American,Yes,No,1,10,A,Pass
PASQUALE'S RIGOLETTO RESTAURANT,Bronx,Italian/Pizza,No,Yes,1,13,A,Pass
"BURGER KING, POPEYES",Queens,American,Yes,Yes,1,11,A,Pass
ZUMA NEW YORK,Manhattan,Asian,Yes,No,1,10,A,Pass
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,Latin,No,No,1,12,A,Pass
BRISAS DEL MAR RESTAURANT,Queens,American,No,Yes,1,12,A,Pass
BAR MADONNA,Brooklyn,Italian/Pizza,No,No,1,9,A,Pass
HOT SPOT GRILL & JERK,Bronx,Latin,Yes,Yes,3,20,B,Fail
SLEEP NO MORE AT THE MCKITTRICK HOTEL,Manhattan,American,Yes,Yes,1,9,A,Pass
CHIPOTLE MEXICAN GRILL,Manhattan,Other,Yes,Yes,2,17,B,Fail
EL REY,Queens,American,Yes,Yes,2,27,B,Fail
TU CASA RESTAURANT,Queens,Other,Yes,Yes,2,13,A,Pass
BUTTERFIELD KITCHEN,Manhattan,American,No,Yes,2,18,B,Fail
UPTOWN SQUEEZE,Manhattan,Other,No,No,1,13,A,Pass
JOHN & JOE PIZZERIA & RESTAURANT,Bronx,Italian/Pizza,No,No,1,8,A,Pass
RAIN II,Manhattan,Asian,No,No,1,7,A,Pass
RESTAURANT ASSOCIATES / CITADEL,Manhattan,American,No,No,1,6,A,Pass
COPPA,Manhattan,Other,No,Yes,1,0,A,Pass
SHANDAR SWEET & RESTAURANT,Brooklyn,South Asian,Yes,Yes,1,27,B,Fail
LA TERNURA,Brooklyn,American,Yes,Yes,2,58,C,Fail
PLAYA BOWLS,Brooklyn,Other,Yes,No,1,17,B,Fail
MONTEZUMA RESTAURANT,Bronx,Latin,No,Yes,1,15,B,Fail
THE CONTINENTAL,Brooklyn,Other,No,Yes,1,10,A,Pass
KAM KITCHEN,Queens,Asian,Yes,Yes,1,7,A,Pass
STAY FIT NUTRITION,Brooklyn,Other,Yes,No,1,12,A,Pass
SPEEDY ROMEO,Brooklyn,Italian/Pizza,Yes,Yes,1,33,C,Fail
ZARO'S FAMILY BAKERY,Manhattan,Other,No,No,1,13,A,Pass
UPSIDE,Brooklyn,Italian/Pizza,No,No,1,10,A,Pass
ALEX'S PIZZA & DELI,Queens,American,No,No,1,10,A,Pass
FUKUROU BROOKLYN,Brooklyn,Asian,Yes,No,1,25,B,Fail
RESTAURANT ASSOCIATES @ AMAZON JFK24,Manhattan,American,No,No,1,4,A,Pass
WENDY'S,Queens,American,Yes,Yes,2,9,A,Pass
JODY'S CLUB,Staten Island,American,Yes,Yes,1,13,A,Pass
MCDONALD'S,Brooklyn,American,Yes,Yes,1,5,A,Pass
V BELVEOERE,Manhattan,Other,No,No,2,4,A,Pass
BASS CAFE,Manhattan,American,Yes,Yes,1,11,A,Pass
BENTON SUSHI,Manhattan,Asian,Yes,Yes,2,17,B,Fail
KENNEDY FRIED CHICKEN,Bronx,American,Yes,Yes,2,16,B,Fail
THERAPY WINE BAR 2.0,Brooklyn,American,No,No,2,11,A,Pass
BITE,Manhattan,American,No,Yes,1,15,B,Fail
KING'S CHEF CHINESE RESTAURANT,Bronx,Asian,No,No,1,11,A,Pass
MISTER CHICKEN II,Queens,American,Yes,Yes,3,31,C,Fail
STOP & ENJOY,Queens,American,Yes,Yes,1,11,A,Pass
EL GAUCHITO II,Queens,Other,No,No,1,12,A,Pass
DUNKIN',Manhattan,Other,No,No,1,4,A,Pass
COURT HOUSE GOURMET DELI,Queens,American,Yes,Yes,4,48,C,Fail
SUBWAY,Staten Island,American,No,No,1,10,A,Pass
TASTY'S DINER,Queens,American,Yes,No,1,13,A,Pass
55 DELI-COFFEE SHOP,Queens,Latin,Yes,Yes,4,36,C,Fail
LA BONNE SOUPE,Manhattan,European,No,Yes,1,13,A,Pass
DUNKIN',Bronx,Other,Yes,Yes,1,10,A,Pass
PIXIE SCOUT CANTEEN,Manhattan,American,No,Yes,1,13,A,Pass
TIO PIO,Manhattan,American,Yes,No,1,10,A,Pass
NEW YORK FRIED CHICKEN,Queens,American,Yes,No,1,33,C,Fail
BZ GRILL,Queens,European,Yes,Yes,2,13,A,Pass
IRESTAURANT,Brooklyn,Asian,Yes,No,1,27,B,Fail
LOVEBIRDS,Brooklyn,American,No,No,1,11,A,Pass
ARIANA KEBAB HOUSE,Manhattan,Other,Yes,Yes,1,12,A,Pass
MCDONALD'S,Queens,American,No,No,2,11,A,Pass
JOJU / JOJU BOWL,Queens,Asian,Yes,Yes,2,20,B,Fail
CROWN HEIGHTS HOUSE OF WINGS,Brooklyn,American,No,Yes,1,13,A,Pass
CONTINENTAL LUNCHEONETTE & DELI,Queens,American,No,Yes,1,15,B,Fail
TBAAR,Queens,Other,Yes,No,1,12,A,Pass
VERY JUICE,Brooklyn,Other,Yes,Yes,1,19,B,Fail
PIG 'N' WHISTLE,Manhattan,Other,No,Yes,2,36,C,Fail
SOHO SUSHI,Manhattan,Asian,Yes,Yes,4,31,C,Fail
DON DON,Manhattan,Asian,No,No,1,7,A,Pass
NEW TIMES SQUARE PIZZA,Manhattan,Italian/Pizza,No,No,1,11,A,Pass
STARBUCKS COFFEE #29856,Brooklyn,Other,No,No,1,8,A,Pass
BIRCH COFFEE,Manhattan,Other,No,No,1,9,A,Pass
SILVIA'S CAFE,Queens,Other,Yes,No,1,9,A,Pass
SHAN DONG DUMPLING,Manhattan,Asian,No,No,1,8,A,Pass
STEP IN RESTAURANT & LOUNGE,Bronx,American,Yes,Yes,1,5,A,Pass
BURGER KING,Brooklyn,American,No,No,1,10,A,Pass
MEZCALUNA,Queens,Latin,No,No,1,5,A,Pass
BANTER,Manhattan,Other,Yes,Yes,1,10,A,Pass
TRIA DINER,Manhattan,American,Yes,Yes,2,27,B,Fail
